,Column1,Column2,Column3
1.1,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,evidence in GH
1.2,Does your website and documentation clearly describe the type of user who should use your software?,Yes,evidence in GH
1.3,Do you publish case studies to show how your software has been used by yourself and others?,Yes,evidence in GH
2.1,Is the name of your project/software unique?,Yes,
2.2,Is your project/software name free from trademark violations?,Yes,
3.1,Is your software available as a package that can be deployed without building it?,No,"Its available for previous version but to update for our new version, we need pipy credentials from previous authors which are kept as private"
3.2,Is your software available for free?,Yes,
3.3,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Can download/clone the repository from the github
3.4,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,In Github
4.1,Is your documentation clearly available on your website or within your software?,Yes,In Readme of Github
4.2,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,In Readme of Github
4.3,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,In Readme of Github
4.4,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",No,
4.5,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
4.6,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,Older version of the library doc is present here: https://pypi.org/project/sync-ends/2.1.0/ 
4.7,Do you store your documentation under revision control with your source code?,Yes,In Github
4.8,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,In Github
5.1,Does your software describe how a user can get help with using your software?,Yes,Can submit a bug report via email 
5.2,"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,In Github
5.3,Does your project have an e-mail address or forum that is solely for supporting users?,Yes,In Github
5.4,Are e-mails to your support e-mail address received by more than one person?,Yes,
5.5,Does your project have a ticketing system to manage bug reports and feature requests?,No,
5.6,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",N/A,
6.1,Is your software’s architecture and design modular?,Yes,
6.2,Does your software use an accepted coding standard or convention?,Yes,Code in the github
7.1,"Does your software allow data to be imported and exported using open data formats?*e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",No,
7.2,"Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",No,
81,"Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,"The project is based on Python language, it can be run on mulitple platforms which support/compile Python code and as long as Python is installed"
9.1,Does your software adhere to appropriate accessibility conventions or standards?,Yes,
9.2,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
10.1,Is your source code stored in a repository under revision control?,Yes,In GH
10.2,Is each source code release a snapshot of the repository?,Yes,In GH
10.3,Are releases tagged in the repository?,Yes,In GH
10.4,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,In GH
10.5,Do you back-up your repository?,Yes,In GH
11.1,Do you provide publicly-available instructions for building your software from the source code?,Yes,In GitHub readme
11.2,"Can you build, or package, your software using an automated tool?* e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,Can install with PyPi
11.3,Do you provide publicly-available instructions for deploying your software?,Yes,In GH readme
11.4,Does your documentation list all third-party dependencies?,Yes,"Postman, Slack, Teams and email are mentioned"
11.5,Does your documentation list the version number for all third-party dependencies?,No,
11.6,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,Web addresses and mandatory
11.7,"Can you download dependencies using a dependency management tool or package manager?* e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",No,
11.8,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,5 Test suites
12.1,Do you have an automated test suite for your software?,Yes,
12.2,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
12.3,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Github actions
12.4,Are your test results publicly visible?,Yes,Code Coverage badge and build badge available
12.5,Are all manually-run tests documented?,No,
13.1,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
13.2,Does your website state how many projects and users are associated with your project?,No,
13.3,Do you provide success stories on your website?,No,
13.4,Do you list your important partners and collaborators on your website?,No,
13.5,Do you list your project's publications on your website or link to a resource where these are available?,No,
13.6,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
13.7,Can users subscribe to notifications to changes to your source code repository?,Yes,Watch function in GH
13.8,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
14.1,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,Mentioned in GH
14.2,Do you have a contributions policy?,Yes,there is a CONTRIBUTING.md file
14.3,Is your contributions' policy publicly available?,Yes,in GH
14.4,Do contributors keep the copyright/IP of their contributions?,No,
15.1,Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
15.2,Does each of your source code files include a copyright statement?,No,
15.3,Does your website and documentation clearly state the licence of your software?,Yes,In GH
15.4,Is your software released under an open source licence?,Yes,MIT License
15.5,Is your software released under an OSI-approved open-source licence?,Yes,
15.6,Does each of your source code files include a licence header?,No,
15.7,Do you have a recommended citation for your software?,No,
16.1,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
16.2,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
16.3,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
,Video,3,Link provided in GH
,Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,Everyone has been contributing a similar ammount
,"but nevertheless, here is a track record that everyone is contributing a lot)",3,Everyone has contributed a lot
,Number of commits,3,GitHub
,Number of commits: by different people,3,
,Issues reports: there are many,3,
,Issues are being closed,3,All issues closed
,DOI badge: exists,3,
,"Docs: doco generated, format not ugly",3,Readme in GH
,Docs: what: point descriptions of each class/function (in isolation),0,
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,One use case discussed
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,in GH
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,Has a fluff video that is not very useful
,Use of version control tools,3,GitHub
,Use of style checkers,3,PyLint
,Use of code formatters.,3,PyLint
,Use of syntax checkers.,3,PyLint
,Use of code coverage,3,CodeCoverage
,Other automated analysis tools,0,
,Test cases exist,3,5 Test Suites Exist
,Test cases are routinely executed,3,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
,Issues are discussed before they are closed,2,Most are discussed
,Chat channel: exists,3,Have a discord channel for team members
,Test cases: a large proportion of the issues related to handling failing cases.,3,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
,Evidence that the members of the team are working across multiple places in the code base,3,There are multiple closed PR branches in the repo
,Short release cycles,3,