,Column1,Column2,Column3,Column (Images)
1.1,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,Github readme has an architecture diagram: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
1.2,Does your website and documentation clearly describe the type of user who should use your software?,Yes,Github Readme describes who should use the software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
1.3,Do you publish case studies to show how your software has been used by yourself and others?,Yes,Github Readme has case studies: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
2.1,Is the name of your project/software unique?,Yes,No other projects named auto_anki found on docker hub,
2.2,Is your project/software name free from trademark violations?,Yes,No trademark found for auto anki,
3.1,Is your software available as a package that can be deployed without building it?,Yes,The software is available as a docker image on docker hub: https://hub.docker.com/r/msills23/auto_anki,
3.2,Is your software available for free?,Yes,The source code is available for free on github: https://github.com/varundeepakgudhe/auto_anki,
3.3,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,The source code is available on github: https://github.com/varundeepakgudhe/auto_anki,
3.4,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,The source code is available on github: https://github.com/varundeepakgudhe/auto_anki,
4.1,Is your documentation clearly available on your website or within your software?,Yes,Github Readme and documentation.md: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
4.2,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,Github Readme has instructions for using the software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
4.3,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,Github Readme has instructions for using the software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
4.4,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,Code documentation added in GH repo: https://github.com/varundeepakgudhe/auto_anki/tree/main/code-documentation   ,https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/code-doco.png
4.5,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,"Apart from error messages in console, messagebox, step by step solution isn't provided",
4.6,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",N/A,Not really a library or package. It's an application/tool!,
4.7,Do you store your documentation under revision control with your source code?,Yes,Github repo has revision control: https://github.com/varundeepakgudhe/auto_anki,
4.8,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,GH repo has release history here: https://github.com/varundeepakgudhe/auto_anki/releases,
5.1,Does your software describe how a user can get help with using your software?,Yes,"Videos, high level flowchart, detailed instructions to application, all provided in ReadMe! https://github.com/varundeepakgudhe/auto_anki#new-features",
5.2,"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,GH readme has guide for users to generate Anki Cards via Youtube and developers have section to locally setup the repo! https://github.com/varundeepakgudhe/auto_anki,
5.3,Does your project have an e-mail address or forum that is solely for supporting users?,Yes,We have discussions page on GH repo: https://github.com/varundeepakgudhe/auto_anki/discussions/,
5.4,Are e-mails to your support e-mail address received by more than one person?,Yes,We have mentioned all 3 collaborators' email addresses. https://github.com/varundeepakgudhe/auto_anki#contact-uscontributors,
5.5,Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Github Issues and Project: https://github.com/varundeepakgudhe/auto_anki/issues | https://github.com/users/smarabattula/projects/2/views/1 ,
5.6,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,Github Issues and Project: https://github.com/varundeepakgudhe/auto_anki/issues | https://github.com/users/smarabattula/projects/2/views/1 ,
6.1,Is your software’s architecture and design modular?,Yes,"Developed different code files for web and tkinter tool, functions and clean folder structure ",https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/files-view.png
6.2,Does your software use an accepted coding standard or convention?,Yes,We are using flake8 as part of our CI/CD pipeline: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/flake8.yml,
7.1,"Does your software allow data to be imported and exported using open data formats?*e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Both,"Our application accepts data in the form of a PDF, Docx and URL which are both open formats. It also accepts data in the form of docx which is a Microsoft domain-specific format. It exports data in the apkg format which is an Anki Flashcard domain-specific format (.apkg).",
7.2,"Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",Yes,"For web implementation, Flask API endpoints are accessed with GET and POST requests.",https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/http.png
81,"Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,Software is compatible with all platforms as we developed it on both Mac and Windows. Also using the docker image the software is compatible with any machine that can run docker: https://hub.docker.com/r/msills23/auto_anki,
9.1,Does your software adhere to appropriate accessibility conventions or standards?,Yes,We have code conduct document that states our standards https://github.com/varundeepakgudhe/auto_anki/blob/main/CODE_OF_CONDUCT.md#our-standards,
9.2,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,We have referred and attributed Atom's guidelines for contributing documentation https://github.com/varundeepakgudhe/auto_anki/blob/main/CONTRIBUTING.md#attribution,
10.1,Is your source code stored in a repository under revision control?,Yes,Github repo has revision control: https://github.com/varundeepakgudhe/auto_anki,
10.2,Is each source code release a snapshot of the repository?,Yes,"Github repository provides static files in releases, which can be considered as snapshots. Example one: https://github.com/varundeepakgudhe/auto_anki/releases/tag/v1.0.0 ",
10.3,Are releases tagged in the repository?,Yes,"GH releases tagged, sample release with tag here https://github.com/varundeepakgudhe/auto_anki/releases/tag/v1.0.0",
10.4,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,"Before branches are merged into main, test cases and format checkers are run using github workflows on the code with the results displayed in the PR: https://github.com/varundeepakgudhe/auto_anki/tree/main/.github/workflows",
10.5,Do you back-up your repository?,Yes,Github is backed up automatically in the cloud: https://github.com/varundeepakgudhe/auto_anki,
11.1,Do you provide publicly-available instructions for building your software from the source code?,Yes,Github Readme has instructions for downloading and building software: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
11.2,"Can you build, or package, your software using an automated tool?* e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",No,But you can use a prebuilt docker image to avoid having to build the software yourself: https://hub.docker.com/r/msills23/auto_anki/tags,
11.3,Do you provide publicly-available instructions for deploying your software?,Yes,https://github.com/varundeepakgudhe/auto_anki#docker-deployment-for-web-application,
11.4,Does your documentation list all third-party dependencies?,Yes,https://github.com/varundeepakgudhe/auto_anki/blob/main/ThirdpartyWebaddress.md,
11.5,Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/varundeepakgudhe/auto_anki/blob/main/ThirdpartyWebaddress.md,
11.6,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,https://github.com/varundeepakgudhe/auto_anki/blob/main/ThirdpartyWebaddress.md,
11.7,"Can you download dependencies using a dependency management tool or package manager?* e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,Python pip using requirements.txt file: https://github.com/varundeepakgudhe/auto_anki/blob/main/requirements.txt ,
11.8,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,6 Files containing 20 test cases in code folder in github repo automatically run before PR merges into main.  They can also be run manually with GH actions: https://github.com/varundeepakgudhe/auto_anki/actions ,
12.1,Do you have an automated test suite for your software?,Yes,Github Workflows ci.yml file runs test cases as part of code coverage: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/ci.yml,
12.2,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,"We have a CI pipeline that runs on commits to main branch, can trigger manual runs there. However, code needs to be written to periodically trigger it https://github.com/varundeepakgudhe/auto_anki/actions/workflows/ci.yml",
12.3,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Github Workflows ci.yml file runs test cases as part of code coverage: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/ci.yml,
12.4,Are your test results publicly visible?,Yes,Code coverage percentage and build status are displayed as badges in readme: https://app.codecov.io/gh/varundeepakgudhe/auto_anki/,
12.5,Are all manually-run tests documented?,Yes,Codecoverage results added in README.md https://github.com/varundeepakgudhe/auto_anki#code-coverage,
13.1,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,We do not have it yet,
13.2,Does your website state how many projects and users are associated with your project?,No,Currently still in development phase so no user count yet,
13.3,Do you provide success stories on your website?,Yes,Github Readme has success stories: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
13.4,Do you list your important partners and collaborators on your website?,Yes,https://github.com/varundeepakgudhe/auto_anki#contact-uscontributors,
13.5,Do you list your project's publications on your website or link to a resource where these are available?,N/A,Our project does not have any publications,
13.6,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N/A,There are no third-party publications that refer to our software,
13.7,Can users subscribe to notifications to changes to your source code repository?,Yes,Can use the github watch feature to get update notifications: https://github.com/varundeepakgudhe/auto_anki/watchers,
13.8,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Yes,https://github.com/varundeepakgudhe/auto_anki/blob/main/governanceModel.md,
14.1,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,We have a Contributing.md file that states how people can contribute to our project: https://github.com/varundeepakgudhe/auto_anki/blob/main/CONTRIBUTING.md,
14.2,Do you have a contributions policy?,Yes,Contributing.md on github: https://github.com/varundeepakgudhe/auto_anki/blob/main/CONTRIBUTING.md,
14.3,Is your contributions' policy publicly available?,Yes,Contributing.md on github: https://github.com/varundeepakgudhe/auto_anki/blob/main/CONTRIBUTING.md,
14.4,Do contributors keep the copyright/IP of their contributions?,No,The project can be licensed by anyone so no copyright/IP,
15.1,Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,MIT License in github:  https://github.com/varundeepakgudhe/auto_anki/blob/main/LICENSE,
15.2,Does each of your source code files include a copyright statement?,Yes,Each file in the code directory has a copyright statement: https://github.com/varundeepakgudhe/auto_anki/tree/main/code,
15.3,Does your website and documentation clearly state the licence of your software?,Yes,MIT License in github:  https://github.com/varundeepakgudhe/auto_anki/blob/main/LICENSE,
15.4,Is your software released under an open source licence?,Yes,MIT License in github:  https://github.com/varundeepakgudhe/auto_anki/blob/main/LICENSE,
15.5,Is your software released under an OSI-approved open-source licence?,Yes,MIT License in github:  https://github.com/varundeepakgudhe/auto_anki/blob/main/LICENSE,
15.6,Does each of your source code files include a licence header?,Yes,Each non test file in the code directory has a License header: https://github.com/varundeepakgudhe/auto_anki/tree/main/code,
15.7,Do you have a recommended citation for your software?,Yes,At the bottom of the readme: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
16.1,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,Near the bottom of the readme: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
16.2,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Yes,Near the bottom of the readme: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
16.3,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,"Nothing has been deprecated yet, however discussions tab and mailing list can be created n future",
,Video,3,https://youtu.be/omAxNoQEgWw,
,Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,"Sasank - 32 commits, Matthew - 22 commits, Varun - 25 commits.(smarabattula made some file name / folder name changes and some static file generations which got to around 4000 https://github.com/varundeepakgudhe/auto_anki/graphs/contributors?from=2023-11-11&to=2023-11-27&type=c",https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/team-commits.png
,"but nevertheless, here is a track record that everyone is contributing a lot)",3,"Sasank - 32 commits, Matthew - 22 commits, Varun - 25 commits: https://github.com/varundeepakgudhe/auto_anki/graphs/contributors?from=2023-11-11&to=2023-11-27&type=c",
,Number of commits,3,"Sasank - 32 commits, Matthew - 22 commits, Varun - 25 commits: https://github.com/varundeepakgudhe/auto_anki/graphs/contributors?from=2023-11-11&to=2023-11-27&type=c",
,Number of commits: by different people,3,"Sasank - 32 commits, Matthew - 22 commits, Varun - 25 commits: https://github.com/varundeepakgudhe/auto_anki/graphs/contributors?from=2023-11-11&to=2023-11-27&type=c",
,Issues reports: there are many,3,Github Issues and Project Tabs: https://github.com/varundeepakgudhe/auto_anki/issues | https://github.com/users/smarabattula/projects/2/views/1,
,Issues are being closed,3,Github Issues and Project Tabs: https://github.com/varundeepakgudhe/auto_anki/issues | https://github.com/users/smarabattula/projects/2/views/1,
,DOI badge: exists,3,Github readme has DOI Badge: https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
,"Docs: doco generated, format not ugly",3,"Github Docs generated by Pycco, static pdfs available under code-documentation folder as well: https://github.com/varundeepakgudhe/auto_anki/tree/main/docs",https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/code-functions.png
,Docs: what: point descriptions of each class/function (in isolation),2,"Github Docs generated by Pycco, but little ugly: https://github.com/varundeepakgudhe/auto_anki/tree/main/docs",
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
,Use of version control tools,3,Github provides version control for code and documentation: https://github.com/varundeepakgudhe/auto_anki,
,Use of style checkers,3,Github Workflows flake8.yml file: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/flake8.yml,
,Use of code formatters.,3,Github Workflows flake8.yml file: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/flake8.yml,
,Use of syntax checkers.,3,Github Workflows flake8.yml file: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/flake8.yml,
,Use of code coverage,3,Github Workflows ci.yml file runs code coverage and badge in Readme: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/ci.yml | https://github.com/varundeepakgudhe/auto_anki/blob/main/README.md,
,Other automated analysis tools,0,NA,
,Test cases exist,3,6 Files containing 20 test cases in code folder in github repo: https://github.com/varundeepakgudhe/auto_anki/tree/main/code,
,Test cases are routinely executed,3,Github Workflows ci.yml file runs test cases as part of code coverage: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/ci.yml,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,Github Contributing.md: https://github.com/varundeepakgudhe/auto_anki/blob/main/CONTRIBUTING.md,
,Issues are discussed before they are closed,2,"Most of them have been resolved on github issues.Some issues have been resolved on discord, some on zoom. Example: https://github.com/varundeepakgudhe/auto_anki/issues/8",
,Chat channel: exists,3,Discord is available,https://github.com/varundeepakgudhe/SE_Team_66/blob/main/proj3/images/discord.png
,Test cases: a large proportion of the issues related to handling failing cases.,0,,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,CI/CD pipeline file modified by two of the three team members: https://github.com/varundeepakgudhe/auto_anki/blob/main/.github/workflows/ci.yml,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,,
,Evidence that the members of the team are working across multiple places in the code base,3,,
,Short release cycles,3,"2 major updates were done, with one release, 2 tags in 2 weeks of time. Summarized by 2 peaks in code frequency, During November! https://github.com/varundeepakgudhe/SE_Team_66/graphs/code-frequency",
